Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Santa Ana, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Boston-Cambridge-Quincy, MA-NH","Dallas-Fort Worth-Arlington, TX","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","San Jose-Sunnyvale-Santa Clara, CA","Sacramento--Arden-Arcade--Roseville, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Glendale, AZ","Orlando-Kissimmee-Sanford, FL","Tampa-St. Petersburg-Clearwater, FL","Detroit-Warren-Livonia, MI","Las Vegas-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Fresno, CA","Columbus, OH","Providence-New Bedford-Fall River, RI-MA","Stockton, CA","Austin-Round Rock-San Marcos, TX","Bridgeport-Stamford-Norwalk, CT","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Jacksonville, FL","Raleigh-Cary, NC","El Paso, TX","St. Louis, MO-IL","Hartford-West Hartford-East Hartford, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Honolulu, HI","Cape Coral-Fort Myers, FL","Salt Lake City, UT","Cleveland-Elyria-Mentor, OH","Worcester, MA","Naples-Marco Island, FL","Tucson, AZ","Virginia Beach-Norfolk-Newport News, VA-NC","Richmond, VA","San Juan-Caguas-Guaynabo, PR",Non-CBSA,Other & Unknown
2012,Naturalization,Sierra Leone,1861,328,7,20,576,29,50,20,36,56,53,128,7,5,10,15,8,61,30,6,9,12,D,4,9,39,D,86,6,D,D,D,D,14,D,13,D,5,-,8,6,D,-,4,D,6,-,D,4,11,-,4,160
2012,Naturalization,Singapore,293,18,D,26,14,14,19,16,4,10,D,9,16,3,6,12,3,3,8,3,D,4,3,3,D,5,D,-,-,-,4,D,D,D,D,D,-,-,D,D,D,3,-,3,-,-,-,D,-,3,-,5,56
2012,Naturalization,Slovakia,401,125,17,10,19,28,-,7,5,7,5,9,10,8,-,3,D,D,3,D,6,5,-,D,4,3,D,4,D,-,-,9,D,-,D,-,-,D,-,3,-,-,3,-,5,-,D,-,-,D,-,5,83
2012,Naturalization,Slovenia,64,7,D,-,D,D,-,-,D,D,3,-,D,D,-,-,D,-,D,-,D,-,3,D,D,-,-,-,-,-,-,-,-,-,D,D,-,3,-,-,-,D,D,D,D,-,-,-,D,-,-,D,21
2012,Naturalization,Solomon Islands,D,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,Naturalization,Somalia,9286,10,D,61,192,161,48,12,185,122,190,5,975,228,D,34,8,2383,202,D,D,5,6,185,153,16,D,1047,-,-,3,D,31,18,4,20,-,78,16,140,97,-,-,97,15,13,D,57,D,5,-,53,2402
2012,Naturalization,South Africa,2294,157,109,148,65,68,77,54,50,74,126,40,53,64,17,30,25,17,38,26,33,11,14,20,36,25,D,11,13,-,20,20,11,30,9,16,-,20,6,15,18,5,D,20,18,7,4,8,6,17,D,43,596
2012,Naturalization,South Sudan,81,-,-,-,D,-,D,-,D,6,D,-,D,-,-,-,-,3,D,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,D,-,-,D,-,-,-,-,-,D,-,-,56
2012,Naturalization,"Soviet Union, former",2610,651,51,194,93,87,32,99,41,13,34,40,69,49,16,70,66,29,17,17,26,38,10,60,36,28,6,24,5,-,3,8,7,19,10,5,-,D,12,9,8,3,5,11,14,6,D,7,10,3,-,16,549
2012,Naturalization,Spain,1242,230,175,66,43,23,21,24,40,12,20,19,20,32,9,20,5,11,13,15,16,8,6,5,9,11,D,3,5,-,3,3,5,4,15,4,D,D,4,-,4,8,-,4,D,-,D,4,13,D,31,13,258
2012,Naturalization,Sri Lanka,1146,219,9,175,104,24,25,31,32,23,11,18,21,16,24,15,21,26,6,14,16,8,14,12,D,10,D,11,-,-,10,3,D,D,D,8,D,5,5,5,-,3,-,-,-,5,-,D,-,8,-,4,194
2012,Naturalization,Sudan,2291,116,11,42,232,51,48,20,33,116,36,36,57,35,5,10,8,39,78,4,D,3,11,8,63,11,D,25,3,D,13,D,3,12,26,8,D,5,6,51,38,-,-,47,5,D,-,32,5,18,-,8,902
2012,Naturalization,Suriname,189,79,24,5,D,D,D,D,D,-,5,-,D,D,-,-,-,D,-,9,3,D,D,-,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,D,D,-,8,-,-,D,-,-,D,-,-,-,33
2012,Naturalization,Swaziland,10,D,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D
2012,Naturalization,Sweden,798,86,40,76,19,18,14,33,21,14,13,8,29,20,8,15,7,16,7,7,10,D,6,6,13,D,D,-,-,-,7,4,D,D,5,4,-,D,5,-,3,7,4,5,3,4,D,5,5,D,-,15,221
2012,Naturalization,Switzerland,427,46,19,31,23,15,9,28,12,5,9,5,10,11,D,9,4,3,3,5,4,3,3,5,6,D,D,D,-,D,4,5,-,3,-,5,D,D,D,D,-,D,5,-,-,D,D,4,D,D,-,10,104
2012,Naturalization,Syria,1814,289,28,306,51,147,46,18,41,33,19,21,12,24,66,6,4,13,18,18,20,79,3,10,9,13,13,10,10,5,-,12,5,7,39,5,D,8,3,4,6,-,D,D,20,15,-,-,-,6,4,4,338
2012,Naturalization,Taiwan,4573,495,34,1130,151,72,183,339,80,151,75,41,150,69,146,340,44,20,28,27,12,10,30,35,25,23,5,26,8,3,48,4,16,12,7,27,D,25,3,3,8,30,D,14,14,D,D,5,12,15,-,20,553
2012,Naturalization,Tajikistan,142,47,-,10,10,-,D,D,D,D,-,-,3,D,-,D,3,-,D,-,D,-,-,12,5,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,D,D,-,-,-,-,D,-,-,-,D,33
2012,Naturalization,Tanzania,543,35,7,11,47,14,38,6,27,18,36,10,22,4,7,D,D,18,4,10,6,5,-,4,6,11,-,16,3,-,D,-,4,D,-,4,-,4,3,-,11,-,-,D,D,3,-,D,D,6,-,6,124
2012,Naturalization,Thailand,6585,228,105,696,270,102,70,189,130,111,68,66,148,84,99,76,498,462,47,21,52,42,101,63,31,28,432,21,25,176,20,10,19,20,12,11,D,13,9,13,35,35,6,15,12,9,D,8,19,12,-,70,1790
2012,Naturalization,Togo,1448,204,3,8,278,60,9,4,12,17,75,43,4,5,D,4,-,88,18,D,7,3,3,5,15,20,-,13,3,D,4,4,6,23,4,13,D,6,7,5,8,D,-,9,D,D,-,12,11,15,-,24,383
2012,Naturalization,Tonga,306,D,-,34,D,D,D,51,D,8,D,-,15,D,15,16,12,-,11,-,D,-,D,9,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,10,-,50,-,-,-,D,-,-,-,D,57
2012,Naturalization,Trinidad and Tobago,5596,2915,517,49,186,55,113,8,118,35,152,152,13,14,16,D,8,24,12,153,103,8,9,5,3,131,D,9,17,-,8,18,7,14,13,10,-,D,14,4,8,7,10,D,9,D,3,5,27,19,D,37,550
2012,Naturalization,Tunisia,345,59,13,15,46,14,7,22,10,D,6,16,4,D,5,D,-,5,3,8,6,13,4,D,4,D,-,-,-,-,-,D,D,D,D,3,-,D,3,D,-,-,-,-,-,-,-,D,D,-,-,D,61
2012,Naturalization,Turkey,3329,880,130,187,231,113,76,106,85,51,72,157,58,46,11,49,8,17,25,20,36,19,15,14,21,40,D,16,10,D,15,15,13,19,14,19,D,13,23,6,9,D,3,3,15,4,10,D,20,14,D,21,592
